"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"103,Allen Crabbe\crabbal01,SG,25,BRK,18,492,12.8,.562,.607,.191,1.8,13.7,7.6,7.9,1.1,0.8,8.7,18.3,,0.5,0.2,0.8,.075,,0.7,-1.4,-0.7,0.2"
"104,Torrey Craig\craigto01,SF,27,DEN,1,6,-4.9,.000,1.000,.000,0.0,18.9,9.3,0.0,0.0,0.0,0.0,7.1,,0.0,0.0,0.0,-0.151,,-10.3,-4.2,-14.5,0.0"
"105,Jamal Crawford\crawfja01,SG,37,MIN,23,400,14.5,.542,.432,.239,1.7,5.6,3.6,18.2,1.7,0.4,13.7,24.7,,0.4,0.1,0.5,.059,,0.7,-4.0,-3.3,-0.1"
"106,Jordan Crawford\crawfjo02,SG,29,NOP,2,37,16.3,.643,.357,.000,6.1,2.9,4.5,37.2,0.0,2.3,22.2,21.2,,0.1,0.0,0.1,.129,,1.4,-4.8,-3.4,0.0"
"107,Jae Crowder\crowdja01,SF,27,CLE,22,572,9.2,.537,.500,.310,3.5,10.6,7.2,5.6,1.2,0.2,11.4,15.6,,0.4,0.2,0.6,.048,,-0.9,-1.9,-2.7,-0.1"
"108,Dante Cunningham\cunnida01,SF,30,NOP,22,500,7.2,.487,.579,.150,4.1,12.5,8.4,3.7,1.2,0.8,5.0,10.4,,0.2,0.3,0.5,.045,,-2.0,-0.5,-2.5,-0.1"
"109,Stephen Curry\curryst01,PG,29,GSW,21,685,26.6,.632,.534,.367,2.3,14.4,8.9,30.0,2.5,0.5,13.1,31.1,,2.9,0.9,3.8,.263,,7.8,-1.2,6.7,1.5"
"110,Troy Daniels\danietr01,SG,26,PHO,23,352,9.4,.610,.797,.034,0.9,6.2,3.5,4.2,0.5,0.0,10.5,15.6,,0.4,-0.1,0.3,.045,,0.8,-4.4,-3.5,-0.1"
"111,Anthony Davis\davisan02,PF,24,NOP,21,733,28.8,.646,.116,.493,7.7,26.4,17.3,12.9,1.6,4.1,10.1,27.1,,2.9,1.0,3.9,.256,,3.6,1.7,5.3,1.3"
"112,Deyonta Davis\davisde01,C,21,MEM,9,106,16.4,.623,.000,.280,5.4,26.2,15.8,6.3,1.4,6.1,9.7,13.5,,0.2,0.2,0.4,.167,,-2.8,3.0,0.3,0.1"
"113,Ed Davis\davised01,PF,28,POR,22,397,14.8,.521,.000,.458,17.1,27.6,22.5,3.4,1.4,3.4,18.1,13.4,,0.4,0.9,1.3,.153,,-2.8,2.3,-0.5,0.1"
