season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2017,atlanta_hawks,4.0,17.0,0.19047619047619047,21.1,49.199999999999996,6.300000000000001,16.5,14.7,32.699999999999996,8.799999999999999,10.6,2.2,12.2,14.4,15.3,5.4,1.0,8.9,7.0,57.50000000000001,117.5,0.44125000000000003,0.38275,0.42525,0.82675,0.49525,26.5
2000,miami_heat,50.0,32.0,0.6097560975609756,23.2,51.5,3.9,10.5,19.2,41.0,13.5,16.9,6.199999999999999,19.299999999999997,25.6,13.299999999999999,4.6,2.1999999999999997,8.899999999999999,11.4,63.6,144.6,0.4625,0.248,0.4495,0.80575,0.48500000000000004,31.25
2001,miami_heat,36.0,46.0,0.43902439024390244,20.700000000000003,44.6,2.5,6.2,18.0,38.300000000000004,10.3,13.4,6.5,19.9,26.4,8.8,3.3,4.2,7.799999999999999,12.500000000000002,54.0,136.2,0.469,0.298,0.46475,0.80125,0.48949999999999994,30.25
2002,miami_heat,25.0,57.0,0.3048780487804878,20.099999999999998,45.9,2.5,6.6,17.6,39.400000000000006,11.1,13.700000000000001,7.0,18.4,25.4,8.4,4.5,2.7,7.499999999999999,12.4,53.8,135.9,0.4485,0.2416666666666667,0.44300000000000006,0.8047500000000001,0.46475000000000005,26.75
2003,miami_heat,42.0,40.0,0.5121951219512195,21.5,50.800000000000004,5.3,14.7,16.3,36.099999999999994,12.8,16.5,4.199999999999999,16.099999999999998,20.299999999999997,16.3,5.0,2.1,9.4,11.100000000000001,60.8,140.9,0.43900000000000006,0.33525,0.42,0.77325,0.47475,26.25
2004,miami_heat,59.0,23.0,0.7195121951219512,25.9,50.4,2.0,5.499999999999999,23.9,45.0,16.7,25.9,8.4,21.3,29.8,13.6,4.0,4.4,9.6,13.0,70.6,141.6,0.5265,0.22033333333333335,0.5117499999999999,0.705,0.5347500000000001,28.0
2005,miami_heat,52.0,30.0,0.6341463414634146,25.6,50.0,2.0,5.9,23.599999999999998,44.1,15.4,22.9,6.5,18.7,25.099999999999998,14.700000000000001,3.8,2.9,9.1,11.2,68.8,131.8,0.532,0.18100000000000002,0.5112500000000001,0.727,0.5345000000000001,28.0
2006,miami_heat,44.0,38.0,0.5365853658536586,21.2,45.0,3.6,10.6,17.400000000000002,34.3,12.7,16.0,4.2,14.8,19.0,16.2,5.0,1.7,7.9,8.4,58.49999999999999,129.4,0.50675,0.24574999999999997,0.4605,0.80725,0.51125,29.25
2007,miami_heat,15.0,67.0,0.18292682926829268,24.5,53.6,2.5,7.5,22.0,46.1,12.899999999999999,17.1,6.9,21.900000000000002,28.7,14.2,5.5,2.2,10.4,10.100000000000001,64.7,148.8,0.47324999999999995,0.31633333333333336,0.45699999999999996,0.76125,0.48175,27.5
2008,miami_heat,43.0,39.0,0.524390243902439,23.700000000000003,49.3,2.7,8.3,21.0,41.099999999999994,12.6,16.5,6.4,18.3,24.7,15.3,6.2,2.8,7.800000000000001,10.1,62.8,140.79999999999998,0.50475,0.2946666666666667,0.47775,0.76825,0.50775,26.75
2009,miami_heat,47.0,35.0,0.573170731707317,24.9,51.6,1.3,4.5,23.6,47.2,13.600000000000001,17.9,6.9,19.4,26.2,9.8,3.5999999999999996,3.4,7.8,10.4,64.9,122.39999999999999,0.5005,0.19166666666666665,0.48724999999999996,0.76075,0.4965,27.25
2010,miami_heat,58.0,24.0,0.7073170731707317,28.0,56.400000000000006,3.9000000000000004,10.5,24.1,45.9,18.4,23.799999999999997,4.5,19.9,24.4,16.0,4.4,2.4,10.0,9.0,78.2,138.7,0.49575,0.33275000000000005,0.48575,0.73925,0.5395,28.25
2011,miami_heat,46.0,20.0,0.696969696969697,28.9,58.0,3.0,8.2,25.9,49.6,16.3,20.7,4.9,18.4,23.3,16.1,6.0,3.1,10.3,8.5,77.0,134.4,0.5195,0.326,0.4907500000000001,0.79375,0.5254999999999999,27.25
2012,miami_heat,66.0,16.0,0.8048780487804879,27.8,52.8,3.5,9.2,24.4,43.7,14.3,18.8,4.5,17.5,22.0,17.6,6.0,3.3,9.0,8.2,73.2,132.7,0.538,0.33925,0.5125,0.76775,0.5555000000000001,28.25
2013,miami_heat,54.0,28.0,0.6585365853658537,27.4,51.50000000000001,3.8000000000000003,10.5,23.6,41.0,13.7,18.0,4.0,17.1,20.9,17.0,5.7,2.0,10.3,8.9,72.1,132.4,0.5619999999999999,0.346,0.5205,0.76125,0.5617500000000001,29.25
2014,miami_heat,37.0,45.0,0.45121951219512196,27.299999999999997,57.699999999999996,3.9,11.299999999999999,23.4,46.400000000000006,14.6,18.8,4.5,14.700000000000001,19.1,14.2,4.1000000000000005,1.4,9.4,7.7,73.2,135.6,0.50975,0.33575,0.47525,0.77725,0.51075,30.0
2015,miami_heat,48.0,34.0,0.5853658536585366,22.6,47.3,5.1,14.0,17.5,33.2,8.8,11.4,3.8000000000000003,16.3,20.0,13.7,3.6,1.3,7.0,8.0,58.9,130.7,0.52925,0.3595,0.47925,0.7605000000000001,0.5337500000000001,31.0
2016,miami_heat,41.0,41.0,0.5,22.5,50.2,3.4,10.200000000000001,19.2,40.0,9.7,13.9,6.6,19.7,26.3,12.8,4.4,3.3,7.8999999999999995,11.0,58.4,131.5,0.471,0.3116666666666667,0.44550000000000006,0.7035,0.48050000000000004,25.0
2017,miami_heat,11.0,11.0,0.5,20.3,46.8,6.199999999999999,18.6,14.0,28.200000000000003,7.2,9.799999999999999,2.6,12.2,14.899999999999999,14.600000000000001,4.0,1.8,10.0,10.600000000000001,54.1,123.9,0.507,0.34049999999999997,0.4375,0.7417499999999999,0.504,27.75
2000,los_angeles_clippers,31.0,51.0,0.3780487804878049,19.1,41.400000000000006,3.2,9.0,15.999999999999998,32.2,8.5,12.2,4.2,15.100000000000001,19.400000000000002,13.1,3.1,3.4000000000000004,7.6000000000000005,9.5,50.1,125.1,0.49075,0.2835,0.46525,0.72,0.5042500000000001,24.0
2001,los_angeles_clippers,39.0,43.0,0.47560975609756095,22.400000000000002,49.9,1.5,5.8,21.0,44.2,10.8,14.9,8.799999999999999,20.5,29.199999999999996,15.6,3.3,5.1,9.5,11.5,57.0,141.7,0.47150000000000003,0.2555,0.448,0.714,0.462,24.25
2002,los_angeles_clippers,27.0,55.0,0.32926829268292684,22.7,50.7,1.2,4.0,21.499999999999996,46.7,12.5,17.1,8.5,22.6,31.1,14.1,3.6999999999999997,5.6000000000000005,10.8,12.6,59.0,148.3,0.4575,0.17966666666666667,0.4435,0.7285,0.45525000000000004,24.75
2003,los_angeles_clippers,28.0,54.0,0.34146341463414637,22.9,52.699999999999996,3.7,11.0,19.2,41.699999999999996,16.8,21.0,8.2,17.4,25.6,13.299999999999999,4.4,3.0,9.8,10.6,66.4,141.0,0.45125,0.25525000000000003,0.4315,0.7735000000000001,0.46825,24.0
2004,los_angeles_clippers,37.0,45.0,0.45121951219512196,24.3,53.0,2.6,7.0,21.9,45.9,17.3,21.200000000000003,6.900000000000001,17.8,24.6,14.8,5.0,2.7,9.1,11.0,68.5,144.3,0.4665,0.2775,0.4535,0.79375,0.48150000000000004,25.0
2005,los_angeles_clippers,47.0,35.0,0.573170731707317,26.0,54.400000000000006,2.0,5.5,24.1,48.60000000000001,14.700000000000001,18.2,6.5,21.099999999999998,27.599999999999998,12.9,3.7,4.5,8.5,11.799999999999999,68.6,143.7,0.49075,0.26,0.47974999999999995,0.81175,0.498,28.75
2006,los_angeles_clippers,40.0,42.0,0.4878048780487805,21.700000000000003,45.599999999999994,1.7000000000000002,5.1,20.0,40.599999999999994,15.3,18.900000000000002,5.8,16.6,22.2,12.2,4.8999999999999995,2.7,8.6,11.299999999999999,60.2,137.8,0.48325,0.44625,0.46624999999999994,0.82675,0.485,28.25
2007,los_angeles_clippers,23.0,59.0,0.2804878048780488,23.9,52.400000000000006,2.0,5.5,21.9,46.900000000000006,18.200000000000003,22.900000000000002,7.4,22.4,29.9,9.2,3.0,5.199999999999999,9.4,10.8,68.2,142.3,0.46900000000000003,0.24433333333333332,0.4575,0.7949999999999999,0.47700000000000004,28.25
2008,los_angeles_clippers,19.0,63.0,0.23170731707317074,25.9,58.7,4.1000000000000005,12.3,21.7,46.3,12.7,16.6,6.0,14.9,20.900000000000002,14.3,4.3,2.1,9.2,11.100000000000001,68.7,141.4,0.467,0.3215,0.43975000000000003,0.7665000000000001,0.478,25.25
2009,los_angeles_clippers,29.0,53.0,0.35365853658536583,23.3,52.5,4.800000000000001,14.499999999999998,18.6,38.099999999999994,11.3,14.5,4.0,14.4,18.3,14.0,3.7,2.8,9.0,8.6,62.6,136.89999999999998,0.484,0.246,0.4385,0.78825,0.4885,27.0
2010,los_angeles_clippers,32.0,50.0,0.3902439024390244,26.200000000000003,57.900000000000006,5.0,13.9,21.2,44.0,15.3,20.5,5.1,15.3,20.299999999999997,20.799999999999997,4.4,1.3,10.9,10.600000000000001,72.8,138.1,0.4755,0.33749999999999997,0.4485,0.7767499999999999,0.49374999999999997,25.5
2011,los_angeles_clippers,40.0,26.0,0.6060606060606061,24.4,52.900000000000006,5.2,14.199999999999998,19.2,38.8,13.7,18.6,4.8999999999999995,15.799999999999999,20.700000000000003,17.5,4.6,1.1,7.5,9.6,67.5,132.7,0.4605,0.3095,0.44949999999999996,0.7725,0.50325,28.5
2012,los_angeles_clippers,56.0,26.0,0.6829268292682927,22.9,47.400000000000006,4.6,13.0,18.400000000000002,34.6,11.5,14.7,4.8,13.6,18.3,17.4,5.6,1.7000000000000002,7.6,8.7,61.699999999999996,120.9,0.5342499999999999,0.30625,0.47974999999999995,0.79,0.5305,28.5
2013,los_angeles_clippers,57.0,25.0,0.6951219512195121,25.8,52.0,3.8,10.5,22.1,41.5,16.8,23.300000000000004,7.5,22.099999999999998,29.7,18.7,5.6,3.4,8.6,10.7,72.2,136.1,0.5427500000000001,0.334,0.52175,0.716,0.5539999999999999,27.5
2014,los_angeles_clippers,56.0,26.0,0.6829268292682927,25.8,49.900000000000006,4.4,10.600000000000001,21.4,39.400000000000006,12.7,18.6,7.599999999999999,21.7,29.300000000000004,18.0,4.3,3.0000000000000004,7.1,10.1,68.9,135.29999999999998,0.5637500000000001,0.37125,0.5435,0.7314999999999999,0.5862499999999999,27.5
2015,los_angeles_clippers,53.0,29.0,0.6463414634146342,25.799999999999997,50.599999999999994,4.5,10.5,21.3,40.0,13.9,20.599999999999998,5.6,22.6,28.3,17.5,4.2,3.1,7.4,9.700000000000001,69.89999999999999,127.8,0.54825,0.29474999999999996,0.536,0.73525,0.5792499999999999,28.5
2016,los_angeles_clippers,51.0,31.0,0.6219512195121951,24.200000000000003,47.3,5.2,12.9,18.9,34.5,13.8,19.000000000000004,6.3,22.8,29.099999999999998,16.7,4.2,2.4000000000000004,7.3999999999999995,9.2,67.4,125.4,0.5527500000000001,0.29400000000000004,0.532,0.75625,0.585,29.5
2017,los_angeles_clippers,8.0,12.0,0.4,21.3,49.599999999999994,5.7,17.2,15.6,32.4,11.799999999999999,15.499999999999998,6.8,21.599999999999998,28.3,12.5,3.8000000000000003,1.7000000000000002,8.1,9.899999999999999,60.10000000000001,133.6,0.48950000000000005,0.33166666666666667,0.45775,0.7537499999999999,0.50825,27.75
